<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCD,20200715,9.25,9.7,9.18,9.7,3690
TCH,20200715,21.45,21.95,20.9,21.7,4399680
TCL,20200715,25,25.3,24.9,25.3,30960
TCM,20200715,21.2,21.65,21.1,21.25,928740
SRC,20200715,15.25,15.5,15.25,15.25,2650
SRF,20200715,14,14,14,14,170
SSC,20200715,53.5,53.5,48.3,48.3,40
SSI,20200715,16.8,16.8,16.5,16.55,4340580
ST8,20200715,11.4,11.4,11.35,11.35,720
STB,20200715,11.65,11.7,11.55,11.55,5535210
STK,20200715,17.7,18.5,17.7,18.15,270620
SVC,20200715,78,78,78,78,10
SVI,20200715,64,64,64,64,1090
SVT,20200715,18.6,19,18.5,18.5,900
SZC,20200715,20.5,20.8,20.25,20.55,545910
SGT,20200715,5.74,5.74,5.55,5.55,44790
SHA,20200715,4.36,4.38,4.1,4.38,9010
SHI,20200715,8.99,8.99,8.81,8.98,604760
SHP,20200715,23.8,25.4,23.7,25.4,3010
SJD,20200715,17.5,17.6,17.45,17.5,22920
SJF,20200715,2.47,2.54,2.37,2.42,7775390
SJS,20200715,24.4,24.6,24.2,24.55,117580
SKG,20200715,9.6,9.95,9.6,9.9,168490
SMA,20200715,9.39,9.39,9.39,9.39,10
SMB,20200715,31.5,31.5,31.2,31.5,10640
SMC,20200715,10.15,11.1,10.15,10.15,8850
SPM,20200715,10.3,10.95,10.3,10.95,20
SFG,20200715,5.77,5.78,5.73,5.78,3260
SFI,20200715,18.8,18.8,18.8,18.8,340
SGN,20200715,72,72,70.5,70.5,2370
PXT,20200715,1.7,1.7,1.6,1.63,19060
QBS,20200715,2.4,2.49,2.4,2.46,56310
QCG,20200715,6.95,7.18,6.95,7,183960
RAL,20200715,79,81,79,80.2,13430
RDP,20200715,7.35,8,7.35,8,11060
REE,20200715,33,33.3,32.9,33.05,438040
RIC,20200715,3.97,3.97,3.97,3.97,10
ROS,20200715,3.02,3.03,3,3,4428560
S4A,20200715,27,28,27,28,18660
SAB,20200715,195.5,202,191.5,191.5,258700
SAM,20200715,10.4,10.45,10,10.3,120210
SAV,20200715,8.03,8.34,8.03,8.34,240
SBA,20200715,14.3,14.3,14.1,14.1,20440
SBT,20200715,14.7,14.8,14.55,14.7,4331470
SBV,20200715,9.7,9.7,9.4,9.65,3940
SC5,20200715,20.45,20.45,20,20.35,3870
SCD,20200715,23.5,23.85,23,23.2,1960
SCR,20200715,5.8,5.87,5.74,5.74,1227130
SCS,20200715,125.2,125.4,124.1,124.3,9080
SFC,20200715,22,22,22,22,100
PJT,20200715,12.5,12.5,12,12.4,8410
PLP,20200715,11.5,11.9,11.45,11.55,537450
PLX,20200715,46.5,46.6,46.25,46.45,468770
PME,20200715,63,63,62,62.8,4270
PMG,20200715,12.7,12.7,12.7,12.7,680
PNJ,20200715,59.9,60.4,59.7,60.2,490010
POM,20200715,5.05,5.19,5.05,5.07,11820
POW,20200715,10.1,10.15,10,10,1994200
PPC,20200715,24.85,25,24.7,24.9,352650
PSH,20200715,20,20.05,19.9,20,417960
PTB,20200715,51.6,51.8,51.2,51.8,70970
PTC,20200715,8.5,8.5,8.5,8.5,210
PTL,20200715,4.32,4.32,4.32,4.32,25660
PVD,20200715,10.65,10.65,10.45,10.5,1661980
PVT,20200715,10.55,10.6,10.45,10.45,744020
PXI,20200715,2.6,2.77,2.6,2.74,3020
PXS,20200715,5.05,5.15,5.05,5.14,74010
PIT,20200715,4.25,4.25,4.2,4.2,1110
NVL,20200715,62.3,63.9,62.3,62.6,579630
NVT,20200715,5.25,5.25,5.15,5.15,200
OGC,20200715,3.62,3.67,3.6,3.63,2007520
OPC,20200715,57,57,57,57,10
PAC,20200715,21.9,22.55,21.9,22.2,36990
PAN,20200715,20.2,20.2,20,20,26440
PC1,20200715,18.25,19.4,18.2,19.4,2710320
PDN,20200715,74.5,79,74.5,79,2820
PDR,20200715,24.8,25.05,24.7,25.05,561170
PET,20200715,9.29,9.35,9.2,9.2,564750
PGC,20200715,13.5,13.95,13.5,13.95,199360
PGD,20200715,28.5,28.5,28.5,28.5,4460
PHC,20200715,11.4,11.5,11.3,11.35,207720
PHR,20200715,53,53.4,52.6,52.7,496050
LGL,20200715,5.26,5.32,5.26,5.32,42410
LHG,20200715,18.2,18.45,18,18,133520
LIX,20200715,56.5,57.7,56.5,57.4,43810
LM8,20200715,13.8,13.95,13.15,13.45,1410
LSS,20200715,5,5.15,5,5.14,10290
MBB,20200715,17.3,17.4,17.2,17.3,2941050
MCG,20200715,1.75,1.75,1.63,1.65,1520
MDG,20200715,10.6,10.6,10.5,10.6,500
MHC,20200715,7.11,7.11,6.88,6.91,858520
MSH,20200715,33.3,34.2,33.2,34.1,213730
MSN,20200715,56.5,56.7,55.7,55.7,1250200
MWG,20200715,83.4,84.9,83.1,84.6,1049820
NAF,20200715,23.7,23.7,23.5,23.7,4390
NBB,20200715,18.2,18.35,18.05,18.2,75070
NCT,20200715,60.3,60.9,60.3,60.5,14370
NHH,20200715,42.5,44,42.5,44,256590
NKG,20200715,7.26,7.35,7.24,7.25,797790
NLG,20200715,25.75,25.75,25.2,25.45,342400
NNC,20200715,46.3,49,46,48,770
NSC,20200715,62,63,61.9,63,540
NT2,20200715,23.35,23.35,22.9,22.95,276300
NTL,20200715,16.25,16.25,16.1,16.1,138980
KSB,20200715,25,25.05,24.4,24.65,871660
LAF,20200715,7.5,7.5,7.5,7.5,60
LBM,20200715,30.5,30.9,30.35,30.35,1960
LCG,20200715,8.25,8.32,8.1,8.16,661790
LCM,20200715,0.68,0.71,0.68,0.68,150620
LDG,20200715,6.58,6.7,6.55,6.55,1846140
LEC,20200715,14.7,14.7,14.7,14.7,220
LGC,20200715,50.3,50.3,50.3,50.3,380
HU1,20200715,5.69,5.69,5.41,5.41,50
HU3,20200715,7.92,7.92,7.8,7.8,14350
HUB,20200715,18.1,18.2,18,18.2,5710
HVH,20200715,8.87,8.87,8.71,8.77,71880
HVN,20200715,26.6,26.6,26.3,26.45,243980
HVX,20200715,3.1,3.3,3.1,3.3,30
IBC,20200715,23.9,24,23.85,24,170240
ICT,20200715,18.2,19.75,18.2,19.6,114390
IDI,20200715,4.06,4.13,4.04,4.06,501810
IJC,20200715,11.8,11.95,11.75,11.8,324030
ILB,20200715,15.65,15.65,15.5,15.65,17790
IMP,20200715,46.3,46.9,46.3,46.4,46760
ITA,20200715,4.85,4.85,4.72,4.72,4482020
ITC,20200715,13.9,14,13.8,13.9,14370
ITD,20200715,9.15,9.2,9.15,9.2,7910
JVC,20200715,3.69,3.69,3.62,3.68,277500
KBC,20200715,14.4,14.55,14.2,14.2,1728050
KDC,20200715,30.6,30.65,30.1,30.25,259800
KDH,20200715,24.3,24.5,24.25,24.5,543180
KHP,20200715,9.03,9.3,9.03,9.15,99170
KMR,20200715,2.3,2.3,2.22,2.26,110360
KOS,20200715,31.8,32.9,31.7,32.5,628490
KPF,20200715,16.2,16.2,15.1,16.2,2050
GIL,20200715,18.2,18.5,18,18.25,45530
GMC,20200715,18.95,18.95,18.5,18.8,17300
GMD,20200715,19.3,19.9,19.3,19.75,430110
GSP,20200715,11.35,11.5,11.25,11.45,39750
GTA,20200715,10.8,11.1,10.8,11.1,10740
GTN,20200715,21.9,21.9,21.35,21.55,1456910
GVR,20200715,12.3,12.3,12.1,12.1,503920
HAG,20200715,4.9,4.95,4.65,4.65,12488230
HAH,20200715,10.3,10.3,10.2,10.2,60030
HAI,20200715,3.15,3.15,3.06,3.06,1470600
HAP,20200715,3.01,3.09,3,3.07,53800
HAR,20200715,3.14,3.19,3.1,3.16,221530
HAS,20200715,7.3,7.3,7.2,7.2,3050
HAX,20200715,13.75,14,13.5,13.7,183640
HBC,20200715,10.9,11.3,10.9,11.1,6556080
HCD,20200715,3.66,3.68,3.58,3.59,153190
HCM,20200715,19.7,19.75,19.15,19.25,1659160
HDB,20200715,26.7,27.2,26.7,26.85,726130
HDC,20200715,16.1,16.6,16.1,16.4,1285950
HDG,20200715,20.8,21.05,20.5,20.7,842470
HHS,20200715,4.2,4.23,4.18,4.19,922030
HID,20200715,2.59,2.59,2.51,2.52,165280
HII,20200715,12.85,12.9,12.7,12.7,35270
